gem_id,plant_name,country,ret_year,wiki_url,extracted_date,date_precision,raw_snippet
G100000102476,Duernrohr power station,Austria,2015,https://www.gem.wiki/Duernrohr_power_station,,,
G100000102566,Eastlake Power Plant,United States,2015,https://www.gem.wiki/Eastlake_Power_Plant,,,
G100000102567,Eastlake Power Plant,United States,2015,https://www.gem.wiki/Eastlake_Power_Plant,,,
G100000102568,Eastlake Power Plant,United States,2015,https://www.gem.wiki/Eastlake_Power_Plant,,,
G100000102586,Edgewater Generating Station,United States,2015,https://www.gem.wiki/Edgewater_Generating_Station,,,
G100000102590,Edwards Generation Plant,United States,2015,https://www.gem.wiki/Edwards_Generation_Plant,2015-12-31,day,"Unit 1 was retired on December 31, 2015"
G100000103043,GKM (Mannheim) power station,Germany,2015,https://www.gem.wiki/GKM_(Mannheim)_power_station,,,
G100000103044,GKM (Mannheim) power station,Germany,2015,https://www.gem.wiki/GKM_(Mannheim)_power_station,,,
G100000102975,Nijmegen power station,Netherlands,2015,https://www.gem.wiki/Gelderland_power_station,2015-12-15,month,The plant was closed in December 2015
G100000103054,Glen Lyn Plant,United States,2015,https://www.gem.wiki/Glen_Lyn_Plant,2015-05-15,month,The power station was shut down in May 2015
G100000103055,Glen Lyn Plant,United States,2015,https://www.gem.wiki/Glen_Lyn_Plant,2015-05-15,month,The power station was shut down in May 2015
G100000103082,Goldenberg power station,Germany,2015,https://www.gem.wiki/Goldenberg_power_station,,,
G100000103097,Gorgas Steam Plant,United States,2015,https://www.gem.wiki/Gorgas_Steam_Plant,2015-08-15,month,[1] The two units were retired in August 2015
G100000103098,Gorgas Steam Plant,United States,2015,https://www.gem.wiki/Gorgas_Steam_Plant,2015-08-15,month,[1] The two units were retired in August 2015
G100000103124,Green River Generating Station,United States,2015,https://www.gem.wiki/Green_River_Generating_Station,2015-09-15,month,[3] It was closed in September 2015
G100000103125,Green River Generating Station,United States,2015,https://www.gem.wiki/Green_River_Generating_Station,2015-09-15,month,[3] It was closed in September 2015
G100000103513,H. Wilson Sundt Generating Station,United States,2015,https://www.gem.wiki/H._Wilson_Sundt_Generating_Station,,,
G100000112475,Hangzhou Banshan power station,China,2015,https://www.gem.wiki/Hangzhou_Banshan_power_station,,,
G100000103658,Harllee Branch Generating Plant,United States,2015,https://www.gem.wiki/Harllee_Branch_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000103660,Harllee Branch Generating Plant,United States,2015,https://www.gem.wiki/Harllee_Branch_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000103661,Harllee Branch Generating Plant,United States,2015,https://www.gem.wiki/Harllee_Branch_Generating_Plant,2015-04-16,day,"The company said it expects to ask to retire the units by the April 16, 2015, effective date of the U"
G100000103675,Hassyan Clean-Coal Power Project,United Arab Emirates,2022,https://www.gem.wiki/Hassyan_Clean-Coal_Power_Project,,,
G100000103676,Hassyan Clean-Coal Power Project,United Arab Emirates,2022,https://www.gem.wiki/Hassyan_Clean-Coal_Power_Project,,,
G100000103727,Heilbronn power station,Germany,2015,https://www.gem.wiki/Heilbronn_power_station,,,
G100000103728,Heilbronn power station,Germany,2015,https://www.gem.wiki/Heilbronn_power_station,,,
G100000109172,Henan Jiaozuo power station,China,2015,https://www.gem.wiki/Henan_Jiaozuo_power_station,,,
G100000109173,Henan Jiaozuo power station,China,2015,https://www.gem.wiki/Henan_Jiaozuo_power_station,,,
G100000109174,Henan Jiaozuo power station,China,2015,https://www.gem.wiki/Henan_Jiaozuo_power_station,,,
G100000109175,Henan Jiaozuo power station,China,2015,https://www.gem.wiki/Henan_Jiaozuo_power_station,,,
G100000113994,Ivanovskaya CHP-2 power station,Russia,2015,https://www.gem.wiki/Ivanovskaya_CHP-2_power_station,,,
G100000113995,Ivanovskaya CHP-2 power station,Russia,2015,https://www.gem.wiki/Ivanovskaya_CHP-2_power_station,,,
G100000113996,Ivanovskaya CHP-2 power station,Russia,2015,https://www.gem.wiki/Ivanovskaya_CHP-2_power_station,,,
G100000113997,Ivanovskaya CHP-2 power station,Russia,2015,https://www.gem.wiki/Ivanovskaya_CHP-2_power_station,,,
G100000104938,Jack Watson Generating Plant,United States,2015,https://www.gem.wiki/Jack_Watson_Generating_Plant,,,
