gvkey,month_end,log_size,log_bm,mom12_2,size_t,bm_t,mom_t
004029,2010-12-31,17.026326055900146,-0.4913638741092194,0.23610577176168124,3,1,2
004029,2011-01-31,17.045338917054607,-0.5103767352636814,0.1161425487395249,3,1,2
004029,2011-02-28,17.092811500264574,-0.5578493184736487,0.19287248518711508,3,1,2
004029,2011-03-31,17.070008328181938,-0.535046146391011,0.18473656833439556,3,1,2
004029,2011-04-30,17.101242584572198,-0.5662804027812708,0.14737488262328657,3,1,2
004029,2011-05-31,17.12886278095562,-0.5939005991646952,0.11759142774361919,3,1,2
004029,2011-06-30,17.140322433398307,-0.5246079861612793,0.23059801284042858,3,1,2
004029,2011-07-31,17.1325352950751,-0.5168208478380732,0.2855254233899014,3,1,2
004029,2011-08-31,17.138503004935387,-0.5227885576983582,0.199693808519124,3,1,2
004029,2011-09-30,17.17930858569763,-0.563594138460601,0.17089825457172347,3,1,2
004029,2011-10-31,17.196036805947745,-0.5803223587107154,0.16426860808620347,3,1,2
004029,2011-11-30,17.196618144981652,-0.5809036977446246,0.21833789448864493,3,1,3
004029,2011-12-31,17.224509160155193,-0.6087947129181634,0.2816008808603232,3,1,3
004029,2012-01-31,17.165531636289895,-0.5498171890528671,0.25851791703897375,3,1,3
004029,2012-02-29,17.17499352236265,-0.5592790751256218,0.2697419613292602,3,1,3
004029,2012-03-31,17.19041885087088,-0.5747044036338518,0.14219363456616874,3,1,2
004029,2012-04-30,17.210908918089515,-0.5951944708524873,0.17534570870349775,3,1,3
004029,2012-05-31,17.208414912000613,-0.592700464763585,0.1483882334082971,3,1,3
004029,2012-06-30,17.24500205899847,-0.6319053346211296,0.1267200639559467,3,1,3
004029,2012-07-31,17.25072638448095,-0.6376296601036091,0.12241397089625639,3,1,2
004029,2012-08-31,17.21968726236689,-0.6065905379895506,0.15991436734549347,3,1,2
004029,2012-09-30,17.22841431453001,-0.6153175901526723,0.14822415229216723,3,1,2
004029,2012-10-31,17.227579159862135,-0.6144824354847961,0.07577859657053065,3,1,1
004029,2012-11-30,17.195427001567147,-0.5823302771898063,0.06795899755167278,3,1,2
004029,2012-12-31,17.208836978052396,-0.5957402536750556,0.054058062704917864,3,1,1
004029,2013-01-31,17.2524658404416,-0.639369116064262,0.0030167826074769533,3,1,2
004029,2013-02-28,17.289752680082934,-0.6766559557055952,0.07831508002936816,3,1,2
004029,2013-03-31,17.328572313471557,-0.7154755890942192,0.10525179930756745,3,1,2
004029,2013-04-30,17.388728166107445,-0.7756314417301066,0.1387983536527253,3,1,2
004029,2013-05-31,17.3018936394145,-0.6887969150371619,0.1609157162689523,3,1,2
004029,2013-06-30,17.306656813278412,-0.7116439868052897,0.22140674852452413,3,1,2
004029,2013-07-31,17.349546362703006,-0.7545335362298832,0.07958970371143859,3,1,2
004029,2013-08-31,17.33555165700546,-0.7405388305323367,0.0896724703047298,3,1,2
004029,2013-09-30,17.403938803804326,-0.8089259773312023,0.1654804152581637,3,1,2
004029,2013-10-31,17.42406148231143,-0.8290486558383072,0.13664970710865476,3,1,3
004029,2013-11-30,17.444536519302837,-0.8495236928297141,0.2327061154145409,3,1,3
004029,2013-12-31,17.441141454313353,-0.8461286278402308,0.2854107132070389,3,1,3
004029,2014-01-31,17.48971812338316,-0.8947052969100369,0.29136836835746616,3,1,3
004029,2014-02-28,17.513223883288525,-0.9182110568154009,0.24285629597052116,3,1,3
004029,2014-03-31,17.536084104808182,-0.941071278335059,0.24798950365656447,3,1,3
004029,2014-04-30,17.557690094119785,-0.9626772676466623,0.23813988954817655,3,1,3
004029,2014-05-31,17.507078586620466,-0.9120657601473436,0.1946344161489848,3,1,3
004029,2014-06-30,17.544202857578835,-0.8109756230453075,0.33145678665842415,3,1,3
004029,2014-07-31,17.48957235888679,-0.7563451243532628,0.2578248540690309,3,1,3
004029,2014-08-31,17.527006005596697,-0.7937787710631694,0.24975382642474098,3,1,3
004029,2014-09-30,17.510782837357112,-0.7775556028235868,0.20140302035015556,3,1,3
004029,2014-10-31,17.54226916227666,-0.8090419277431334,0.16348692925967745,3,1,2
004029,2014-11-30,17.561779832266645,-0.8285525977331183,0.12196264309917937,3,1,2
004029,2014-12-31,17.620009729448046,-0.8867824949145201,0.13716074837319825,3,1,1
004029,2015-01-31,17.61987968198054,-0.886652447447011,0.16044435174357607,3,1,1
004029,2015-02-28,17.562632231638503,-0.8294049971049764,0.17170096365285636,3,1,1
004029,2015-03-31,17.54596869112051,-0.8127414565869836,0.1366196484368878,3,1,1
004029,2015-04-30,17.55733324696502,-0.8241060124314941,0.05107176297670235,3,1,1
004029,2015-05-31,17.549643356687607,-0.8164161221540824,0.011206682598988715,3,1,1
004029,2015-06-30,17.496497435223826,-0.7366005310571493,0.06650011419469548,3,1,2
004029,2015-07-31,17.566237746763512,-0.8063408425968367,0.02093299990897446,3,1,2
004029,2015-08-31,17.54009395971197,-0.7801970555452934,0.02362129764690124,3,1,2
004029,2015-09-30,17.549085670903935,-0.7891887667372574,0.04817767793826233,3,1,2
004029,2015-10-31,17.563894488177375,-0.8039975840106995,0.045849068181847974,3,1,2
004029,2015-11-30,17.50707768654324,-0.747180782376565,0.02258419968512171,3,1,2
004029,2015-12-31,17.511077395601053,-0.7511804914343758,0.011600283262786837,3,1,2
004029,2016-01-31,17.575902318654855,-0.8160054144881783,-0.09124490604645807,3,1,2
004029,2016-02-29,17.5460504505261,-0.786153546359422,-0.08748394638203771,3,1,2
004029,2016-03-31,17.61830183625526,-0.8584049320885828,0.029293462550914917,3,1,2
004029,2016-04-30,17.56849278258714,-0.8085958784204627,0.014369252769701912,3,1,2
004029,2016-05-31,17.611488403005637,-0.8515914988389617,0.08845787112310854,3,1,2
004029,2016-06-30,17.687167063868568,-0.8720318176349577,0.043068359588902316,3,1,1
004029,2016-07-31,17.688321280091607,-0.8731860338579986,0.11201080807740649,3,1,1
004029,2016-08-31,17.656520366707934,-0.8413851204743265,0.1295565126394842,3,1,1
004029,2016-09-30,17.65800254713154,-0.8428673008979319,0.15191444121589237,3,1,1
004029,2016-10-31,17.67044667640613,-0.855311430172521,0.09536301217897569,3,1,1
004029,2016-11-30,17.6427271899583,-0.8275919437246899,0.08086559927103742,3,1,1
004029,2016-12-31,17.68676953594204,-0.871634289708433,0.14934013046858596,3,1,1
004029,2017-01-31,17.682713796752758,-0.8675785505191491,0.1263329183740307,3,1,2
004029,2017-02-28,17.702561308005645,-0.8874260617720374,0.1031625662022857,3,1,2
004029,2017-03-31,17.70184555848345,-0.8867103122498382,0.13405312554967042,3,1,2
004029,2017-04-30,17.7000391063793,-0.8849038601456904,0.06354675071792593,3,1,2
004029,2017-05-31,17.74346988733741,-0.9283346411038013,0.12791523252384263,3,1,2
004029,2017-06-30,17.690852922865517,-0.7308884076006226,0.11372295605484628,3,1,2
004029,2017-07-31,17.719396295043666,-0.7594317797787684,0.07664277543342646,3,1,2
004029,2017-08-31,17.739788152649425,-0.7798236373845285,0.020274670938071004,3,1,1
004029,2017-09-30,17.716151856405034,-0.7561873411401391,0.07097628421906355,3,1,1
004029,2017-10-31,17.76943199671249,-0.8094674814475968,0.10187184012101125,3,1,1
004029,2017-11-30,17.80708714654098,-0.8471226312760843,0.06282575436025484,3,1,1
004029,2017-12-31,17.76991354617842,-0.8099490309135248,0.13932096947656047,3,1,1
004029,2018-01-31,17.712846377582952,-0.7528818623180572,0.14075394977152045,3,1,1
004029,2018-02-28,17.692081639821428,-0.7321171245565329,0.10359782229221715,3,1,2
004029,2018-03-31,17.59959666902423,-0.6396321537593335,0.022468308677059845,3,1,2
004029,2018-04-30,17.586610442790693,-0.626645927525796,-0.01806022402293872,3,1,2
004029,2018-05-31,17.550493543813904,-0.5905290285490092,-0.09413454685431488,3,1,1
004029,2018-06-30,17.611224835959383,-0.7200162228032354,-0.15073705248733615,3,1,1
004029,2018-07-31,17.66170377714411,-0.7704951639879617,-0.12549549309536046,3,1,1
004029,2018-08-31,17.649939950336854,-0.7587313371807086,-0.07775704499397895,3,1,1
004029,2018-09-30,17.64299203156806,-0.7517834184119119,-0.05860496204166321,3,1,1
004029,2018-10-31,17.659082710415465,-0.7678740972593177,-0.04872529340969345,3,1,1
004029,2018-11-30,17.705435970075115,-0.8142273569189669,-0.09397443930699656,3,1,1
004029,2018-12-31,17.663774697284865,-0.7725660841287166,-0.120052940224184,3,1,1
004029,2019-01-31,17.83023800793426,-0.9390293947781105,-0.0473432730886435,3,1,1
004029,2019-02-28,17.88360062903596,-0.9923920158798151,-0.020169214164984073,3,1,1
004029,2019-03-31,17.930994283332232,-1.0397856701760853,-0.006083550136191995,3,1,1
004029,2019-04-30,17.946654992968718,-1.055446379812571,0.15259153421773064,3,1,2
004029,2019-05-31,17.915202887355623,-1.023994274199477,0.20816268737272847,3,1,2
004029,2019-06-30,17.94327030355972,-0.9000034689213099,0.25620061883802014,3,1,3
004029,2019-07-31,17.90329400238331,-0.8600271677448946,0.1418330772381633,3,1,2
004029,2019-08-31,17.971346212783068,-0.928079378144657,0.12994674896122982,3,1,2
004029,2019-09-30,18.01433512230591,-0.9710682876674961,0.10008818379491924,3,1,2
004029,2019-10-31,18.03279643273162,-0.9895295980932051,0.1443344798980204,3,1,2
004029,2019-11-30,18.040989506055052,-0.9977226714166403,0.18946168090858406,3,1,1
004029,2019-12-31,18.03749405260754,-0.9942272179691264,0.1615302493992219,3,1,2
004029,2020-01-31,18.072260560536165,-1.0289937258977546,0.2056941454262211,3,1,2
004029,2020-02-29,17.99778723982903,-0.9545204051906169,0.23616977122369476,3,1,3
004029,2020-03-31,17.91807491161529,-0.8748080769768777,0.1985527109856069,3,1,2
004029,2020-04-30,17.984265689410126,-0.9409988547717156,0.06832416850323231,3,1,2
004029,2020-05-31,18.083034003010905,-1.0397671683724925,-0.028854814964755837,3,1,2
004029,2020-06-30,18.03693401779239,-0.7099675772459411,0.0747247738125274,3,1,3
004029,2020-07-31,18.03508456285427,-0.7081181223078232,0.13806062912905226,3,1,3
004029,2020-08-31,18.003653063804386,-0.6766866232579373,0.14362956082340927,3,1,3
004029,2020-09-30,18.00988044619655,-0.6829140056501031,0.0924036196845619,3,1,3
004029,2020-10-31,18.027586691407375,-0.7006202508609282,0.0011258415544477263,3,1,3
