gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Qatar Electricity and Water Company QPSC,qatar electricity and water qpsc,258639,QATAR ELECT & WATER,QAT,QA0006929812,comp_subset,319.0,6559.6,0.0,0.0,6878.6,6878.6,1.0000
A2A SpA,a2a,222601,A2A SPA,ITA,IT0001233417,exact_norm,0.0,6804.0,0.0,0.0,6804.0,6804.0,1.0000
Central Puerto SA,central puerto,060844,CENTRAL PUERTO SA,ARG,ARP2354W1188,exact_norm,0.0,5904.4,117.0,451.0,5904.4,6472.4,0.9122
AGL Energy Ltd,agl energy,100251,AGL ENERGY,AUS,AU000000AGL7,exact_norm,4880.0,1130.0,155.0,197.0,6010.0,6362.0,0.9447
Fujian Funeng Co Ltd,fujian funeng,270383,FUJIAN FUNENG CO LTD,CHN,CNE000001HV5,exact_norm,4513.8,1170.0,2.1,436.0,5683.8,6121.8,0.9284
SSE PLC,sse,103342,SSE PLC,GBR,GB0007908733,exact_norm,0.0,6117.8,0.0,0.0,6117.8,6117.8,1.0000
Henan Yuneng Holdings Co Ltd,henan yuneng,272468,HENAN YUNENG HLDG CO LTD,CHN,CNE000000TZ3,exact_norm,5880.0,0.0,0.0,110.0,5880.0,5990.0,0.9816
ENEA SA,enea,290445,ENEA SA,POL,PLENEA000013,exact_norm,5761.0,0.0,35.0,76.0,5761.0,5872.0,0.9811
Public Power Corporation SA,power,249638,PUBLIC POWER CORPORATION SA,GRC,GRS434003000,exact_norm,1655.0,3583.0,411.0,158.1,5238.0,5807.1,0.9020
Jilin Electric Power Co Ltd,jilin electric power,201913,JORDAN ELECTRIC POWER CO,JOR,JO3100411011,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100450,CHUBU ELECTRIC POWER CO INC,JPN,JP3526600006,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100439,CHUGOKU ELECTRIC POWER CO,JPN,JP3522200009,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100690,TOHOKU ELECTRIC POWER CO INC,JPN,JP3605400005,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,271031,ELEC POWER DEVELOPMENT CO,JPN,JP3551200003,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,260071,LESHAN ELECTRIC POWER CO LTD,CHN,CNE0000008T5,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
