gvkey,isin,ric
363804,INE11HG01018,CHAU.NS
364169,IT0005618043,CGFD.MI
364249,INE239T01016,KKVA.NS
364328,INE622W01025,ACMO.NS
364416,ES0105848008,COXGA.MC
364457,INE0ONG01011,NTPG.NS
365517,ID1000208507,HGII.JK
365762,TREBYEN00010,BIGEN.IS
365775,TREENDA00016,ENDAE.IS
366608,JP3549120008,350A.T
367218,TW0007833006,7833.TWO
367639,MA0000012759,VCN.CS
367684,BE0974499312,ENRGY.BR
367697,CNE1000074V1,600930.SS
367728,ID1000210701,CDIA.JK
368541,MYQ0369OO007,JSSL.KL
368841,INE0TY101024,SOLW.NS
369425,TREECGR00024,ECOGR.IS
369781,MYL5343OO008,WASO.KL
370368,TREARFB00018,ARFYE.IS
