gvkey_i,gvkey_j,w_reg
004029,011188,0.010101
004029,003392,0.010101
004029,006867,0.010101
004029,011550,0.010101
004029,144580,0.010101
004029,004799,0.010101
004029,008099,0.010101
004029,001440,0.010101
004029,008810,0.010101
004029,007437,0.010101
004029,004517,0.010101
004029,008290,0.010101
004029,157373,0.010101
004029,012428,0.010101
004029,003413,0.010101
004029,011554,0.010101
004029,025588,0.010101
004029,004093,0.010101
004029,007365,0.010101
004029,007974,0.010101
004029,005135,0.010101
004029,066624,0.010101
004029,009828,0.010101
004029,007824,0.010101
004029,115687,0.010101
004029,010447,0.010101
004029,005525,0.010101
004029,006397,0.010101
004029,001995,0.010101
004029,009850,0.010101
004029,156818,0.010101
004029,010507,0.010101
004029,023465,0.010101
004029,146411,0.010101
004029,005526,0.010101
004029,013948,0.010101
004029,180942,0.010101
004029,163429,0.010101
004029,008113,0.010101
004029,043737,0.010101
004029,005385,0.010101
004029,020739,0.010101
004029,026658,0.010101
004029,009846,0.010101
004029,156820,0.010101
004029,008809,0.010101
004029,160913,0.010101
004029,001742,0.010101
004029,003210,0.010101
004029,003897,0.010101
004029,008539,0.010101
004029,013353,0.010101
004029,009691,0.010101
004029,010801,0.010101
004029,008001,0.010101
004029,001075,0.010101
004029,012555,0.010101
004029,008455,0.010101
004029,065298,0.010101
004029,116304,0.010101
004029,152430,0.010101
004029,009902,0.010101
004029,011304,0.010101
004029,156656,0.010101
004029,146774,0.010101
004029,065095,0.010101
004029,012612,0.010101
004029,005914,0.010101
004029,163669,0.010101
004029,008264,0.010101
004029,065092,0.010101
004029,185429,0.010101
004029,012749,0.010101
004029,156819,0.010101
004029,007977,0.010101
004029,018293,0.010101
004029,040614,0.010101
004029,006338,0.010101
004029,004331,0.010101
004029,010860,0.010101
004029,127675,0.010101
004029,155277,0.010101
004029,144646,0.010101
004029,004241,0.010101
004029,008806,0.010101
004029,001745,0.010101
004029,007970,0.010101
004029,010327,0.010101
004029,114789,0.010101
004029,005742,0.010101
004029,014580,0.010101
004029,003439,0.010101
004029,135990,0.010101
004029,005870,0.010101
004029,008199,0.010101
004093,006932,0.010101
004093,007366,0.010101
004093,004798,0.010101
004093,156676,0.010101
004093,011188,0.010101
004093,003392,0.010101
004093,006867,0.010101
004093,011550,0.010101
004093,144580,0.010101
004093,004799,0.010101
004093,008099,0.010101
004093,001440,0.010101
004093,008810,0.010101
004093,007437,0.010101
004093,004517,0.010101
004093,008290,0.010101
004093,157373,0.010101
004093,012428,0.010101
004093,003413,0.010101
004093,011554,0.010101
004093,025588,0.010101
004093,007365,0.010101
004093,007974,0.010101
004093,005135,0.010101
004093,066624,0.010101
004093,009828,0.010101
004093,007824,0.010101
004093,115687,0.010101
004093,010447,0.010101
004093,005525,0.010101
004093,006397,0.010101
004093,001995,0.010101
004093,009850,0.010101
004093,156818,0.010101
004093,010507,0.010101
004093,023465,0.010101
004093,146411,0.010101
004093,005526,0.010101
004093,013948,0.010101
004093,180942,0.010101
004093,163429,0.010101
004093,008113,0.010101
004093,043737,0.010101
004093,005385,0.010101
004093,020739,0.010101
004093,026658,0.010101
004093,009846,0.010101
004093,156820,0.010101
004093,008809,0.010101
004093,160913,0.010101
